,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
151,Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College
152,Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University
153,Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",South Florida
154,Al Attles*,1961,1971,G,6-0,175,"November 7, 1936",North Carolina A&T
155,Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State
156,Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968",UNLV
157,D.J. Augustin,2009,2021,G,5-11,183,"November 10, 1987",Texas
158,James Augustine,2007,2008,F,6-10,235,"February 27, 1984",Illinois
159,Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State
160,Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College
161,Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University
162,Deni Avdija,2021,2021,G-F,6-9,210,"January 3, 2001",
163,Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall
164,Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine
165,William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke
166,Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara
167,Gustavo Ayón,2012,2014,C,6-10,250,"April 1, 1985",
168,Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State
169,Deandre Ayton,2019,2021,C,6-11,250,"July 23, 1998",Arizona
170,Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",Kentucky
171,Udoka Azubuike,2021,2021,C,6-8,280,"September 17, 1999",Kansas
172,Chris Babb,2014,2014,G,6-5,225,"February 14, 1990","Penn State, Iowa State"
173,Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989",Nevada
174,Miloš Babić,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University
175,Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham
176,Dwayne Bacon,2018,2021,G,6-6,221,"August 30, 1995",Florida State
177,Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",Louisville
178,Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University
179,Dalibor Bagarić,2001,2003,C,7-1,255,"February 7, 1980",
180,John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College
181,Marvin Bagley,2019,2021,F-C,6-11,235,"March 14, 1999",Duke
182,Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University
183,Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",Texas-El Paso
184,James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University
185,Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",NC State
186,Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975",UCLA
187,Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",New Mexico
188,Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",Hawaii
189,LaMark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State
190,Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State
191,Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",
192,Ron Baker,2017,2019,G,6-4,220,"March 30, 1993",Wichita State
193,Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford
194,Wade Baldwin,2017,2019,G,6-4,200,"March 29, 1996",Vanderbilt
195,Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",South Carolina
196,Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",UNC Charlotte
197,LaMelo Ball,2021,2021,G,6-6,180,"August 22, 2001",
198,Lonzo Ball,2018,2021,G,6-6,190,"October 27, 1997",UCLA
199,Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",Oregon
200,Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Penn State
201,Mohamed Bamba,2019,2021,C,7-0,231,"May 12, 1998",Texas
202,Desmond Bane,2021,2021,G,6-5,215,"June 25, 1998",TCU
203,Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke
204,Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981",UNLV
205,Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky
206,Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College"
207,Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's
208,John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles"
209,Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",
210,Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",Illinois
211,J.J. Barea,2007,2020,G,5-10,180,"June 26, 1984",Northeastern University
212,Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",
213,Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",Kentucky
214,Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",Hawaii
215,Charles Barkley*,1985,2000,F,6-6,252,"February 20, 1963",Auburn
216,Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's
217,Don Barksdale*,1952,1955,F-C,6-6,200,"March 31, 1923",UCLA
218,Harrison Barnes,2013,2021,F,6-8,225,"May 30, 1992",UNC
219,Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University
220,Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",Texas-El Paso
221,Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",Providence
222,Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980",UCLA
223,Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State
224,Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",Oregon
225,Nathaniel Barnett,1976,1976,G,6-3,175,"January 29, 1953",University of Akron
226,John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State
227,Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",Washington State
228,Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",Notre Dame
229,John Barr,1947,1947,F,6-3,205,"August 18, 1918",Penn State
230,Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",Duquesne
231,Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",Duquesne
232,Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall
233,Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State
234,Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia Tech
235,RJ Barrett,2020,2021,G-F,6-6,214,"June 14, 2000",Duke
236,Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",Memphis
237,Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College
238,Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State
239,Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Tech
240,Jon Barry,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Tech"
241,Rick Barry*,1966,1980,F,6-7,205,"March 28, 1944",Miami (FL)
242,Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",NC State
243,Vic Bartolome,1972,1972,C,7-0,230,"September 29, 1948",Oregon State
244,Will Barton,2013,2021,G,6-6,181,"January 6, 1991",Memphis
245,Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",UNC Charlotte
246,Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple
247,Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",LSU
248,Tim Bassett,1974,1980,F-C,6-8,225,"April 1, 1951",Georgia
249,Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",Michigan
250,Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",
251,Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University
252,Keita Bates-Diop,2019,2021,F,6-8,229,"January 23, 1996",Ohio State
253,Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",
254,Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State
255,Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech
256,Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke
257,John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University
258,Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois, Illinois"
259,Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",Notre Dame
260,Lloyd Batts,1975,1975,G-F,6-4,185,"May 9, 1951",Cincinnati
261,Nicolas Batum,2009,2021,F-G,6-8,230,"December 14, 1988",
262,Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946",Temple
263,Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University
264,Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",Maryland
265,Jerryd Bayless,2009,2019,G,6-3,200,"August 20, 1988",Arizona
266,Elgin Baylor*,1959,1972,F,6-5,225,"September 16, 1934","Albertson College of Idaho, Seattle University"
267,Howard Bayne,1968,1968,F,6-6,235,"July 28, 1942",Tennessee
268,Aron Baynes,2013,2021,C,6-10,260,"December 9, 1986",Washington State
269,Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",
270,Kent Bazemore,2013,2021,G-F,6-4,195,"July 1, 1989",Old Dominion
271,Darius Bazley,2020,2021,F,6-8,208,"June 12, 2000",
272,Ed Beach,1951,1951,F,6-3,200,"January 25, 1929",West Virginia
273,Bradley Beal,2013,2021,G,6-3,207,"June 28, 1993",Florida
274,Al Beard,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State
275,Butch Beard,1970,1979,G,6-3,185,"May 4, 1947",Louisville
276,Ralph Beard,1950,1951,G,5-10,175,"December 2, 1927",Kentucky
277,Charles Beasley,1968,1971,G-F,6-5,190,"September 23, 1945",SMU
278,Jerome Beasley,2004,2004,F,6-10,237,"May 17, 1980","Midland College, University of North Dakota"
279,John Beasley,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M
280,Malik Beasley,2017,2021,G,6-4,187,"November 26, 1996",Florida State
281,Michael Beasley,2009,2019,F,6-9,235,"January 9, 1989",Kansas State
282,Zelmo Beaty*,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University
283,Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",
284,Byron Beck,1968,1977,C-F,6-9,225,"January 25, 1945",Denver
285,Corey Beck,1996,1999,G,6-1,190,"May 27, 1971","South Plains College, Arkansas"
286,Ernie Beck,1954,1961,G-F,6-4,190,"December 11, 1931",Penn
287,Arthur Becker,1968,1973,F,6-7,205,"January 12, 1942",Arizona State
288,Moe Becker,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne
289,Bob Bedell,1968,1971,F,6-7,205,"June 26, 1944",Stanford
290,William Bedford,1987,1993,C,7-0,225,"December 14, 1963",Memphis
291,Hank Beenders,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University
292,Ron Behagen,1974,1980,F-C,6-9,185,"January 14, 1951",Minnesota
293,Elmer Behnke,1952,1952,C,6-7,210,"February 3, 1929",Bradley
294,Marco Belinelli,2008,2020,G-F,6-5,220,"March 25, 1986",
295,Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State
296,Dennis Bell,1974,1976,F,6-5,185,"June 2, 1951",Drake University
297,Jordan Bell,2018,2021,F,6-8,216,"January 7, 1995",Oregon
298,Raja Bell,2001,2012,G,6-5,204,"September 19, 1976","Boston University, Florida International University"
299,Troy Bell,2004,2004,G,6-1,180,"November 10, 1980",Boston College
300,Whitey Bell,1960,1961,G,6-0,180,"September 13, 1932",NC State
301,Walt Bellamy*,1962,1975,C,6-11,225,"July 24, 1939",Indiana
302,DeAndre' Bembry,2017,2021,F,6-5,210,"July 4, 1994",Saint Joseph's
303,Irv Bemoras,1954,1957,F-G,6-3,185,"November 18, 1930",Illinois
304,Leon Benbow,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University
305,Dragan Bender,2017,2020,F,7-0,225,"November 17, 1997",
306,Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",
307,Jerrelle Benimon,2015,2015,F,6-8,245,"August 1, 1991","Georgetown, Towson University"
308,Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton
309,Corey Benjamin,1999,2003,G,6-6,200,"February 24, 1978",Oregon State
310,Anthony Bennett,2014,2017,F,6-8,245,"March 14, 1993",UNLV
311,Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",Notre Dame
312,Mario Bennett,1996,2000,F,6-6,235,"August 1, 1973",Arizona State
313,Mel Bennett,1976,1982,F,6-7,200,"January 4, 1955",Pitt
314,Spider Bennett,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State
315,Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",Green Bay
316,Winston Bennett,1990,1992,F,6-7,210,"February 9, 1965",Kentucky
317,David Benoit,1992,2001,F,6-8,220,"May 9, 1968",Alabama
318,Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland
319,Kent Benson,1978,1988,C,6-10,235,"December 27, 1954",Indiana
320,Ben Bentil,2017,2017,F,6-9,235,"March 29, 1995",Providence
321,Gene Berce,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette
322,Gary Bergen,1957,1957,C,6-8,210,"July 16, 1932",Utah
323,Larry Bergh,1970,1970,F,6-8,210,"April 2, 1945",Weber State
324,Ricky Berry,1989,1989,F,6-8,205,"October 6, 1964","Oregon State, San Jose State"
325,Walter Berry,1987,1989,F,6-8,215,"May 14, 1964",St. John's
326,Dairis Bertāns,2019,2019,G,6-4,200,"September 9, 1989",
327,Dāvis Bertāns,2017,2021,F,6-10,225,"November 12, 1992",
328,Del Beshore,1979,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania
329,Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Tech
330,Patrick Beverley,2013,2021,G,6-1,180,"July 12, 1988",Arkansas
331,Saddiq Bey,2021,2021,F,6-7,215,"April 9, 1999",Villanova
332,Tyler Bey,2021,2021,F,6-7,215,"February 10, 1998",Colorado
333,Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State
334,Wesley Bialosuknia,1968,1968,G,6-2,185,"June 8, 1945",UConn
335,Al Bianchi,1957,1966,G,6-3,185,"March 26, 1932",Bowling Green
336,Hank Biasatti,1947,1947,G,5-11,175,"January 14, 1922",Long Island University
337,Henry Bibby,1973,1981,G,6-1,185,"November 24, 1949",UCLA
338,Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",Arizona
339,Ed Biedenbach,1969,1969,G,6-1,175,"August 12, 1945",NC State
340,Andris Biedriņš,2005,2014,C,6-11,240,"April 2, 1986",
341,Don Bielke,1956,1956,C,6-7,240,"May 10, 1932",Valparaiso
342,Bob Bigelow,1976,1979,F-G,6-7,215,"December 26, 1953",Penn
343,Lionel Billingy,1975,1975,F-C,6-9,215,"August 31, 1952",Duquesne
344,Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",Colorado
345,Dave Bing*,1967,1978,G,6-3,180,"November 24, 1943",Syracuse
346,Joe Binion,1987,1987,F,6-8,235,"March 26, 1961",North Carolina A&T
347,Khem Birch,2018,2021,C-F,6-9,233,"September 28, 1992","Pitt, UNLV"
348,Jabari Bird,2018,2018,G,6-6,198,"July 3, 1994",California
